496540,752142,787139,842262,846660,830485,826370
540208,600551,565156,555304,586487,516444,515475
380571,389907,415701,400968,466643,460304,330089
226713,309122,343137,355516,376536,420380,765513
234630,311990,300452,280463,267343,266196,253884
93140,141077,116922,128003,142435,523759,518283
101319,129596,143062,169301,200339,223311,268482
121103,133515,153584,183540,189429,218169,222052
85027,115431,138008,172706,189779,213322,257338
136050,141744,155944,169722,177718,177924,191865
85108,108466,126092,156025,179664,210544,258020
130668,142798,158759,170459,171771,167049,178157
109135,119226,138989,166538,176909,185608,203972
119711,136219,140506,157738,168528,172169,183617
101785,109542,124406,146036,155888,166287,207491
100973,112232,120364,140230,149649,201850,182229
103883,121173,118147,137964,144777,161640,181642
110753,117600,131117,138513,144975,150413,174015
94507,106151,124934,140864,148645,157376,184030
85433,112965,129560,149630,146304,153734,172799
87192,99684,115551,121327,126628,134498,149244
109912,107818,114962,118254,118820,122564,127510
93293,93739,103943,108223,117034,115370,183813
86458,101866,109438,110359,124789,130588,136338
99170,114178,99112,101125,111626,113417,141417
146488,94945,103849,108590,104702,110612,102571
66201,76544,92476,106652,113043,118816,146549
63568,78026,92251,95168,107750,115453,132021
72802,77799,86791,97829,107347,109235,116382
86310,92686,97682,97790,92635,98856,94052
50497,58691,71510,77179,90113,117761,138319
54482,67225,86664,83002,91258,103064,113916
57697,66866,75202,82669,93079,103063,117861
72164,73895,83124,93948,90578,86658,93616
65719,67388,81326,83337,89672,99702,106833
66913,71062,82882,83130,87353,94804,103901
50385,59546,72041,75387,95129,113798,120434
48560,46832,51622,58722,64234,226695,86324
68848,74147,76745,78434,85302,87822,102907
55691,61673,74152,82021,87769,99104,109321
65705,71021,79951,86993,87140,87771,90908
61259,67696,75198,84206,86248,92721,101166
59830,69312,93685,78148,78964,83873,85121
68755,77390,79757,81475,82053,80958,77280
71505,73502,74710,76771,78035,80759,87698
54972,65142,68191,69761,92829,88107,103816
57395,62196,68504,76034,82179,87158,93999
59255,61641,67842,72628,78163,86217,95112
61596,63610,68020,69752,84400,88444,83591
62362,64812,70042,75155,78246,83315,85228
63306,65869,69985,75834,74747,78278,78578
49668,50331,58826,72999,81250,90999,97672
41562,53580,60894,71281,80287,94194,97291
57496,59894,61928,68522,72990,85462,86738
62852,65012,70884,70375,73279,75160,75145
46852,50043,59115,70592,78827,89259,95775
59627,55652,63865,72093,74011,77362,87833
59290,61028,64309,70672,71839,78152,81456
47826,50516,59726,68762,73417,85279,97695
40037,47553,53592,69158,84010,89884,97585
54265,58943,62932,69336,71191,78156,85808
39334,43224,69712,70065,80113,83842,87037
60419,64707,65620,67379,68893,70303,74901
53278,53336,63337,69616,68182,76391,86574
60448,59081,62967,66193,71150,73149,73847
45403,50182,65333,64401,76489,74601,84898
54967,56517,61749,64887,69230,72496,76411
63025,64695,64510,62658,65895,64295,66975
